person_id,period,source,age,is_male,total_income,is_married,job1_income,job2_income,job3_income
sipp_29281668418920_101,2025-08,sipp,49,0,5682.0,1,5791.0,0.0,0.0
sipp_29281668418920_101,t+1,sipp,49,0,8562.426382037775,1,5920.318528653633,3.623358514234809,10.715756452017933
sipp_29281668418920_101,t+2,sipp,49,0,8330.365437832821,1,7404.468758631181,0.0,0.0
sipp_29281668418920_101,t+3,sipp,49,0,7920.581456349784,1,2602.7204118171403,0.0,0.0
sipp_29281668418920_101,t+4,sipp,49,0,5077.641519433113,1,3880.7658727953294,0.0,0.0
sipp_29281668418920_101,t+5,sipp,49,0,3126.86820155412,1,3395.2813900760793,0.0,0.0
sipp_29281668418920_101,t+6,sipp,49,0,0.0,1,5211.37984536157,4.028716688182129,0.0
sipp_29281668418920_101,t+7,sipp,49,0,0.0,1,4362.4730740374725,8.884547639054675,0.0
sipp_29281668418920_101,t+8,sipp,49,0,5467.927181173291,1,5071.083243415502,10.503824371168227,9.143376711953772
sipp_29281668418920_101,t+9,sipp,49,0,3865.309462119447,1,4336.041112688987,8.245692395596777,0.0
sipp_29281668418920_101,t+10,sipp,49,0,1576.15274516488,1,3942.7642841006764,7.0144140309734215,2.0820848439184516
sipp_33235917253723_103,2022-02,sipp,4,1,0.0,0,0.0,0.0,0.0
sipp_33235917253723_103,t+1,sipp,4,1,1089.2872056031847,0,759.6936626178936,9.30576047167339,14.776903006664767
sipp_33235917253723_103,t+2,sipp,4,1,0.0,0,1120.5670352290365,2.671238810226992,0.0
sipp_33235917253723_103,t+3,sipp,4,1,0.0,0,0.0,0.0,0.0
sipp_33235917253723_103,t+4,sipp,4,1,0.0,0,0.0,0.0,0.0
sipp_33235917253723_103,t+5,sipp,4,1,0.0,0,0.0,0.0,0.0
sipp_33235917253723_103,t+6,sipp,4,1,0.0,0,674.3460410680691,2.854940845906505,0.0
sipp_33235917253723_103,t+7,sipp,4,1,252.76189231382887,0,495.7534743232882,10.341183521280088,0.0
sipp_33235917253723_103,t+8,sipp,4,1,6836.489360856045,0,1469.3255144587947,9.467402242987918,17.099805385314227
sipp_33235917253723_103,t+9,sipp,4,1,3368.033189042115,0,1776.8645064686543,9.880439609108862,11.724652407668179
sipp_33235917253723_103,t+10,sipp,4,1,0.0,0,1362.0751495410773,7.5594255410487765,15.30153429958224
sipp_33286060463023_103,2022-11,sipp,21,1,0.0,0,0.0,0.0,0.0
sipp_33286060463023_103,t+1,sipp,21,1,1089.2872056031847,0,759.6936626178936,9.30576047167339,14.776903006664767
sipp_33286060463023_103,t+2,sipp,21,1,0.0,0,1120.5670352290365,2.671238810226992,0.0
sipp_33286060463023_103,t+3,sipp,21,1,0.0,0,0.0,0.0,0.0
sipp_33286060463023_103,t+4,sipp,21,1,0.0,0,0.0,0.0,0.0
sipp_33286060463023_103,t+5,sipp,21,1,0.0,0,0.0,0.0,0.0
sipp_33286060463023_103,t+6,sipp,21,1,0.0,0,674.3460410680691,2.854940845906505,0.0
sipp_33286060463023_103,t+7,sipp,21,1,252.76189231382887,0,495.7534743232882,10.341183521280088,0.0
sipp_33286060463023_103,t+8,sipp,21,1,6836.489360856045,0,1469.3255144587947,9.467402242987918,17.099805385314227
sipp_33286060463023_103,t+9,sipp,21,1,3368.033189042115,0,1776.8645064686543,9.880439609108862,11.724652407668179
sipp_33286060463023_103,t+10,sipp,21,1,0.0,0,1362.0751495410773,7.5594255410487765,15.30153429958224
sipp_33286078369523_102,2022-10,sipp,10,1,0.0,0,0.0,0.0,0.0
